,Date,Open,High,Low,Close,Adj Close,Volume
0,"Apr 8, 2026",258.45,259.75,256.53,258.9,258.9,41008200.0
1,"Apr 7, 2026",256.16,256.2,245.7,253.5,253.5,62148000.0
2,"Apr 6, 2026",256.51,262.16,256.46,258.86,258.86,29329900.0
3,"Apr 2, 2026",254.2,256.13,250.65,255.92,255.92,31289400.0
4,"Apr 1, 2026",254.08,256.18,253.33,255.63,255.63,40059400.0
5,"Mar 31, 2026",247.91,255.48,247.1,253.79,253.79,49598100.0
6,"Mar 30, 2026",250.07,250.87,245.51,246.63,246.63,39446200.0
7,"Mar 27, 2026",253.9,255.49,248.07,248.8,248.8,47900000.0
8,"Mar 26, 2026",252.12,257.0,250.77,252.89,252.89,41796700.0
9,"Mar 25, 2026",254.1,255.0,251.6,252.62,252.62,28476700.0
10,"Mar 24, 2026",250.35,254.83,249.55,251.64,251.64,45152300.0
11,"Mar 23, 2026",253.97,254.6,250.28,251.49,251.49,40546100.0
12,"Mar 20, 2026",247.98,249.2,246.0,247.99,247.99,88331100.0
13,"Mar 19, 2026",249.4,251.83,247.3,248.96,248.96,34864100.0
14,"Mar 18, 2026",252.63,254.94,249.0,249.94,249.94,35757900.0
15,"Mar 17, 2026",252.96,255.13,252.18,254.23,254.23,32361600.0
16,"Mar 16, 2026",252.11,253.89,249.88,252.82,252.82,32074200.0
17,"Mar 13, 2026",255.48,256.33,249.52,250.12,250.12,36930000.0
18,"Mar 12, 2026",258.66,258.95,254.18,255.76,255.76,40794000.0
19,"Mar 11, 2026",261.09,262.13,259.55,260.81,260.81,26218900.0
20,"Mar 10, 2026",257.65,262.48,256.95,260.83,260.83,30590800.0
21,"Mar 9, 2026",255.69,261.15,253.68,259.88,259.88,38218500.0
22,"Mar 6, 2026",258.63,258.77,254.37,257.46,257.46,41120000.0
23,"Mar 5, 2026",260.79,261.56,257.25,260.29,260.29,49658600.0
24,"Mar 4, 2026",264.65,266.15,261.42,262.52,262.52,39803100.0
25,"Mar 3, 2026",263.48,265.56,260.13,263.75,263.75,38568900.0
26,"Mar 2, 2026",262.41,266.53,260.2,264.72,264.72,41827900.0
27,"Feb 27, 2026",272.81,272.81,262.89,264.18,264.18,72366500.0
28,"Feb 26, 2026",274.95,276.11,270.8,272.95,272.95,32345100.0
29,"Feb 25, 2026",271.78,274.94,271.05,274.23,274.23,33714300.0
