iter	Passed	Remaining
404	7781	1825
405	7798	1805
406	7817	1786
407	7835	1766
408	7853	1747
409	7871	1727
410	7888	1708
411	7905	1688
412	7922	1668
413	7939	1649
414	7956	1629
415	7974	1610
416	7992	1590
417	8009	1571
418	8027	1551
419	8044	1532
420	8060	1512
421	8077	1493
422	8094	1473
423	8111	1454
424	8129	1434
425	8147	1415
426	8165	1395
427	8183	1376
428	8200	1357
429	8218	1337
430	8235	1318
431	8252	1299
432	8269	1279
433	8287	1260
434	8305	1241
435	8324	1221
436	8343	1202
437	8361	1183
438	8379	1164
439	8397	1145
440	8415	1125
441	8433	1106
442	8451	1087
443	8469	1068
444	8487	1049
445	8506	1029
446	8525	1010
447	8544	991
448	8563	972
449	8579	953
450	8596	934
451	8614	914
452	8630	895
453	8647	876
454	8666	857
455	8683	837
456	8699	818
457	8718	799
458	8736	780
459	8753	761
460	8770	741
461	8787	722
462	8804	703
463	8822	684
464	8841	665
465	8859	646
466	8878	627
467	8896	608
468	8915	589
469	8932	570
470	8950	551
471	8967	531
472	8985	512
473	9004	493
474	9022	474
475	9040	455
476	9058	436
477	9076	417
478	9094	398
479	9111	379
480	9128	360
481	9146	341
482	9162	322
483	9179	303
484	9196	284
485	9213	265
486	9231	246
487	9249	227
488	9267	208
489	9283	189
490	9300	170
491	9317	151
492	9334	132
493	9352	113
494	9368	94
495	9386	75
496	9405	56
497	9423	37
498	9442	18
499	9459	0
