iter	RMSE
0	0.08032877492
1	0.08011211493
2	0.07984104726
3	0.07960199588
4	0.07926427493
5	0.07893570544
6	0.07844357925
7	0.07830224416
8	0.07806772569
9	0.07784993426
10	0.07741658933
11	0.07713641416
12	0.07694662161
13	0.07676333429
14	0.07639587724
15	0.07594837519
16	0.07575451598
17	0.07550627015
18	0.07518152117
19	0.07498551439
20	0.07466073555
21	0.07438266597
22	0.07408498683
23	0.07377101287
24	0.07350817627
25	0.07322881788
26	0.07288876028
27	0.07246358162
28	0.07214034495
29	0.0718189627
30	0.0715140004
31	0.07122104633
32	0.07094753629
33	0.07075702595
34	0.07055469788
35	0.07033100378
36	0.07015647304
37	0.06984282725
38	0.06972429128
39	0.06949880843
40	0.06928170533
41	0.06890657293
42	0.0686733323
43	0.06852957053
44	0.06827357762
45	0.06801713636
46	0.06777731982
47	0.06744717775
48	0.06727748334
49	0.06710726782
50	0.06688541215
51	0.06662128453
52	0.06633929528
53	0.06618993203
54	0.0660002902
55	0.06572703828
56	0.0655272113
57	0.06529970785
58	0.06511285126
59	0.0648982657
60	0.06457480418
61	0.06437296484
62	0.06429569238
63	0.06401524595
64	0.06384451755
65	0.06356999752
66	0.06339914449
67	0.06314261701
68	0.06290241928
69	0.06277212946
70	0.06257735793
71	0.06224920273
72	0.0620946433
73	0.06179290283
74	0.06164766261
75	0.06145226416
76	0.06121601321
77	0.06098984093
78	0.06071671675
79	0.06054466437
80	0.06032150492
81	0.06014084322
82	0.05988843524
83	0.05968239664
84	0.05951094923
85	0.05926519725
86	0.05893591398
87	0.0585956539
88	0.0584134068
89	0.0582645636
90	0.05807467186
91	0.05782824845
92	0.05762548018
93	0.05748893228
94	0.05733229982
95	0.05712942293
96	0.0569336196
97	0.05672663737
98	0.05655720023
99	0.05644466225
100	0.05619727281
101	0.05601901716
102	0.05584965567
103	0.05565075493
104	0.05544491534
105	0.05527372804
106	0.05513733818
107	0.05506883397
108	0.05477396369
109	0.05460122334
110	0.05441320247
111	0.05416658367
112	0.05395697142
113	0.05383018815
114	0.05370612233
115	0.05357469912
116	0.05342935678
117	0.05327078648
118	0.05305066505
119	0.05282023236
120	0.05266377843
121	0.05240788961
122	0.05212526591
123	0.05191170905
124	0.05167530033
125	0.05159421969
126	0.05132906523
127	0.05123849424
128	0.05109079946
129	0.05092630266
130	0.05071626779
131	0.05054446183
132	0.05040399605
133	0.05020220904
134	0.04992285042
135	0.04970937401
136	0.04939852141
137	0.04918261569
138	0.0489843282
139	0.04878052842
140	0.04851338966
141	0.04829196768
142	0.04810824539
143	0.04789548491
144	0.04762836676
145	0.04746090166
146	0.0473795345
147	0.04714824353
148	0.04693583122
149	0.04684020405
150	0.04664006417
151	0.04657695812
152	0.04649732726
153	0.04628653058
154	0.04616954482
155	0.04597676379
156	0.04587380126
157	0.04566526513
158	0.04545847405
159	0.04530479218
160	0.04515860667
161	0.04491504096
162	0.04474433723
163	0.04465043935
164	0.04445299385
165	0.04419618444
166	0.0440006942
167	0.04395049922
168	0.04374311528
169	0.04366709261
170	0.04342018082
171	0.04318367866
172	0.04300610464
173	0.04279338525
174	0.0425398363
175	0.04243694756
176	0.04227008233
177	0.04214636435
178	0.04187111303
179	0.04177401305
180	0.04159084763
181	0.04151131859
182	0.04143901035
183	0.04118568394
184	0.0409300938
185	0.04062783948
186	0.04043866354
187	0.04019139252
188	0.03997480149
189	0.03972866689
190	0.03964381149
191	0.03948924355
192	0.03922001082
193	0.03904975869
194	0.03892892367
195	0.0386999373
196	0.03843361464
197	0.03830035725
198	0.03806191344
199	0.03791385095
200	0.03769832192
201	0.03749469053
202	0.03723333335
203	0.03713946712
204	0.03684233634
205	0.0367093536
206	0.03649970435
207	0.03642709325
208	0.03629147445
209	0.03607311398
210	0.03586951208
211	0.03568727899
212	0.03545205168
213	0.03528113961
214	0.03522275059
215	0.03496478447
216	0.03474001528
217	0.0345172084
218	0.03432167037
219	0.03410365502
220	0.03393759043
221	0.03375795144
222	0.03349222742
223	0.03342501439
224	0.03325513451
225	0.03303837878
226	0.03289897969
227	0.0327218632
228	0.03255917247
229	0.0323991721
230	0.03228233071
231	0.03214242623
232	0.03201363841
233	0.03189280228
234	0.031656975
235	0.03150030077
236	0.03133896599
237	0.03120463112
238	0.03105794814
239	0.0308768001
240	0.03072230724
241	0.03061590631
242	0.03042847041
243	0.03034706867
244	0.03019414565
245	0.02999623549
246	0.02987858287
247	0.02974330231
248	0.02958694969
249	0.0295036617
250	0.02937751324
251	0.02920330592
252	0.02906802058
253	0.02892969084
254	0.02878150276
255	0.02859292282
256	0.02843945528
257	0.02824599609
258	0.02806658992
259	0.02789460826
260	0.02774640764
261	0.02757041525
262	0.02737945408
263	0.02725172617
264	0.02720168492
265	0.02701424067
266	0.0269012022
267	0.02687181305
268	0.02679013715
269	0.02661926098
270	0.02645984068
